,name,shop,latitude,longitude
0,Priti Departmental Store,convenience,12.9174059,77.64853
1,Adeshwara Electronics,electronics,12.9176987,77.6515426
2,I-gate optic vision,optics,12.9192611,77.6518197
3,Looking Good Furniture,furniture,12.8667524,77.6554073
4,Jubilan Motors Audi Showroom,car,12.8656106,77.6573594
5,Volvo Service Center,car_repair,12.8625267,77.6598533
6,Navneeth Motors BMW Showroom,car,12.8621083,77.6601795
7,Tata Book Store,books,13.0146763,77.5681459
8,Foodworld,supermarket,12.9328185,77.5830433
9,Family Mall,supermarket,12.9588137,77.6382484
10,Spencers Express,supermarket,12.9591813,77.6382984
11,More,supermarket,12.9595527,77.638381
12,Drapes Avenue,curtain,12.9559416,77.6412371
13,Cauvery Arts And Crafts Emporium,craft,12.9748429,77.608086
14,Adyar Ananda Bhavan,confectionery,12.9543746,77.5930172
15,TVS Sundaram Motors,car,12.9737535,77.5959935
16,Thom's Bakery,bakery,12.9915471,77.614181
17,Reliance Fresh,supermarket,13.0316253,77.6357141
18,Shoba,supermarket,13.0306094,77.6349359
19,Smart,supermarket,13.0298925,77.6347682
20,Big Bazaar,supermarket,13.0476857,77.5742994
21,New Frosties,butcher,12.9556119,77.7205897
22,Archies Gallery,gift,13.0016175,77.5713543
23,Old Madras Baking Company,bakery,12.9697383,77.6003775
24,Geojit Financial Services,mobile_phone,13.0037901,77.5691874
25,Shop and save,convenience,12.8983313,77.5582799
26,Fresh Supermarket,supermarket,13.0263233,77.6319846
27,Ruksana's Beauty Salon,beauty,13.0237239,77.6364982
28,Foodworld Supermarket,supermarket,13.0245569,77.6369992
29,Style Spa,furniture,13.0248088,77.6369908
30,Sabari Vegetables and Fruits,greengrocer,13.0197391,77.6368364
31,Sansar Collections,clothes,13.019526,77.6367557
32,Sip n Bite,grocery,13.0227216,77.633722
33,Jn Style,beauty,13.0288296,77.6349444
34,Kids Kemp,clothes,12.9735992,77.5803131
35,Mothercare,motherhood,12.9701849,77.6438014
36,Foto Park,photo,13.0287412,77.6336899
37,Danube Home,furniture,12.9528644,77.6994421
38,Mumbai Badam & Lassi Center,beverages,12.9510696,77.5775371
39,Naturals,beauty,12.9610755,77.71672
40,Reliance Fresh,convenience,12.9601296,77.7160629
41,Bata,shoes,12.9598856,77.7160093
42,Fresh@Heritage,convenience,12.9974545,77.5403023
43,Fair and Fair,convenience,13.0361795,77.5317658
44,Nilgiris,supermarket,13.0492252,77.5474051
