shop,count
clothes,1359
supermarket,579
bakery,561
beauty,392
hairdresser,341
convenience,338
jewelry,318
electronics,309
furniture,242
mobile_phone,222
shoes,213
greengrocer,206
motorcycle,204
dairy,186
car,184
optician,179
sports,168
yes,155
hardware,154
travel_agency,152
confectionery,148
butcher,142
car_repair,106
tailor,105
copyshop,102
department_store,93
alcohol,91
stationery,89
pastry,86
gift,83
computer,80
interior_decoration,77
bicycle,74
kiosk,71
dry_cleaning,70
laundry,70
books,70
medical_supply,69
watches,62
motorcycle_repair,61
tyres,56
beverages,55
cosmetics,55
tea,47
car_parts,47
pet,47
electrical,43
photo,38
appliance,38
bag,35
bed,35
florist,34
hifi,34
baby_goods,33
toys,33
houseware,33
coffee,33
general,32
trade,31
chemist,31
kitchen,30
boutique,27
massage,26
seafood,22
wine,21
lighting,20
fashion_accessories,20
craft,19
tattoo,18
grocery,17
wholesale,17
fabric,16
chocolate,15
doityourself,15
mall,14
garden_centre,13
nuts,12
variety_store,12
musical_instrument,12
perfumery,12
farm,12
hearing_aids,11
paint,10
telecommunication,10
outdoor,10
party,10
music,10
repair,10
art,9
curtain,8
ticket,8
carpet,8
money_lender,8
agrarian,7
religion,7
diary,7
nutrition_supplements,7
spices,6
frame,6
photo_studio,6
pet_grooming,6
flooring,6
health_food,6
antiques,5
bathroom_furnishing,5
fashion,5
tiles,5
rice,5
snack,5
leather,5
cheese,4
locksmith,4
printing,4
pottery,4
vacant,4
watch,4
gas,4
pawnbroker,4
juice,4
marquee_hire,3
snacks,3
tobacco,3
shoe_repair,3
bookmaker,3
mobile_phone_accessories,3
Printer,3
herbalist,3
motorcycle_parts,3
energy,3
radiotechnics,2
fuel,2
fruit_juice,2
psychic,2
craft_supplies,2
customer_service,2
rental,2
games,2
rechargeable_battery,2
mattress,2
deli,2
water_filter,2
water,2
newsagent,2
video_games,2
handicraft,2
bedsheets,1
food,1
betel,1
power_tools,1
marquee,1
station,1
window_blind,1
vegetables,1
camera,1
puncture,1
sweet,1
mirror,1
glass,1
bag;shoes,1
grocer,1
clothes;shoes,1
wigs,1
scooter,1
helmet,1
print,1
mobile_phone;telecommunication,1
mobile_phone;copyshop,1
milk,1
doors,1
craft;hardware,1
wholesale_grain_trader,1
honey,1
ironing,1
pest_control,1
hairdresser_supply,1
car_detail,1
scrap,1
clothes;hairdresser,1
3d_printing,1
stamps,1
swimming_pool,1
video,1
publi,1
Sugarcane_juice,1
salon,1
mechanic,1
aquarium,1
Distributor,1
mobile_phone_repair,1
diagnostic_centre,1
helmets,1
flour_mill,1
ice_cream,1
Domestic_Gas_Agency,1
eye_care,1
leather_wear,1
dry_cleaning;laundry,1
shoes;clothes,1
Community Hall,1
motherhood,1
optics,1
services,1
Kitchen_stoves_and_hobs,1
ration,1
Construction_solutions,1
oil_dealer,1
printer,1
collector,1
security,1
"Stationery,Food",1
Hardware_and_Sheet_Suppliers,1
Glass_and_Plywood_Items,1
Tent_House,1
beauty;hairdresser,1
Electrical_Supply_Store,1
sports;bicycle,1
fast_food,1
bedding,1
batteries,1
Gun_dealers,1
battery,1
Water_cans,1
mattresses,1
kitchen_stove_&_hob,1
parcel,1
